,source,target
1261,419,923
1262,419,4805
1263,419,5624
1264,419,4199
1265,420,1549
1266,420,4186
1267,421,2049
1268,421,7803
1269,421,8136
1270,421,6455
1271,421,729
1272,422,813
1273,422,3640
1274,423,9096
1275,423,5227
1276,424,1845
1277,424,4947
1278,425,2215
1279,426,981
1280,426,1315
1281,426,6214
1282,426,4038
1283,427,4475
1284,427,6592
1285,427,2895
1286,428,4785
1287,428,7457
1288,429,8083
1289,429,6713
1290,429,1430
1291,430,5618
1292,430,8540
1293,431,5226
1294,431,7574
1295,432,6094
1296,432,5552
1297,433,8448
1298,433,1915
1299,433,4053
1300,433,9209
1301,434,8854
1302,434,5532
1303,435,6988
1304,435,3202
1305,436,6654
1306,436,1454
1307,437,981
1308,437,5668
1309,438,7201
1310,439,8787
1311,439,4179
1312,440,802
1313,440,7519
1314,441,6012
1315,441,3002
1316,442,5150
1317,442,5425
1318,442,7389
1319,442,6789
1320,443,2777
1321,443,1187
1322,444,5790
1323,444,2058
1324,445,5054
1325,445,6470
1326,446,8452
1327,446,1743
1328,446,3767
1329,446,9127
1330,447,4063
1331,447,8800
1332,448,8539
1333,448,1535
1334,449,6128
1335,449,7717
1336,449,2043
1337,449,1954
1338,450,8224
1339,450,1591
1340,450,6382
1341,451,2996
1342,451,6844
1343,452,1635
1344,452,7183
1345,452,860
1346,452,3131
1347,452,649
1348,453,1744
1349,453,3154
1350,453,3086
1351,454,5338
1352,454,1294
1353,454,8510
1354,455,5856
1355,455,713
1356,456,1111
1357,456,3607
1358,456,6646
1359,456,3188
1360,457,3985
1361,457,7854
1362,458,2492
1363,458,7889
1364,459,8957
1365,459,1827
1366,460,3489
1367,460,8232
1368,461,7158
1369,461,4933
1370,461,5975
1371,461,1132
1372,461,3081
1373,461,3744
1374,461,4988
1375,461,461
1376,461,5519
1377,461,9038
1378,461,2358
1379,461,7816
1380,462,7217
1381,462,1716
1382,463,7370
1383,463,8201
1384,463,2193
1385,463,8252
1386,464,6125
1387,464,4315
1388,464,1929
1389,465,5309
1390,465,6517
1391,466,942
1392,467,1205
1393,467,9068
1394,468,8982
1395,468,9161
1396,468,6176
1397,468,1745
1398,468,5225
1399,469,7798
